X,Y,id,lbl,fip,mmt_id,short__frm,long_frm,adm0,adm1,adm2,adm3,adm4,adm5,stl-0,stl-1,stl-2,stl-3,stl-4,stl-5,bbox
-2.61911711231735,5.19112878955313,1,GHA-1,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Adansi North,-,-,-,92,1,1,-,-,-,"[ -3.111520, 4.978160, -2.482100, 5.410400 ]"
-2.80611831220787,5.7570439396743,2,GHA-2,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Adansi South,-,-,-,92,1,2,-,-,-,"[ -3.095210, 5.340980, -2.483960, 6.173130 ]"
-2.36802526752008,5.72620330951437,3,GHA-3,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Afigya-Sekyere,-,-,-,92,1,3,-,-,-,"[ -2.620020, 5.342330, -2.018710, 6.109560 ]"
-2.30879742373781,5.10648016455641,4,GHA-4,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Ahafo Ano North,-,-,-,92,1,4,-,-,-,"[ -2.568270, 4.823250, -2.098780, 5.398160 ]"
-2.94847534008627,6.36638696963715,5,GHA-5,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Ahafo Ano South,-,-,-,92,1,5,-,-,-,"[ -3.228290, 6.094680, -2.660840, 6.643070 ]"
-3.0306539530065,6.75524974495371,6,GHA-6,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Amansie Central,-,-,-,92,1,6,-,-,-,"[ -3.255420, 6.504230, -2.837520, 7.006340 ]"
-2.68926786675594,6.79964410680719,7,GHA-7,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Amansie East,-,-,-,92,1,7,-,-,-,"[ -2.877570, 6.599370, -2.516700, 6.999950 ]"
-2.54374078839007,6.58644903661699,8,GHA-8,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Amansie West,-,-,-,92,1,8,-,-,-,"[ -2.787960, 6.354760, -2.371090, 6.818180 ]"
-2.53565350555842,6.2188870664726,9,GHA-9,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Asante Akim North,-,-,-,92,1,9,-,-,-,"[ -2.948240, 5.916910, -2.336820, 6.516380 ]"
0.977098512322226,6.16591194259086,10,GHA-10,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Asante Akim South,-,-,-,92,1,10,-,-,-,"[ 0.855130, 6.013760, 1.191780, 6.324290 ]"
0.861754661732523,5.93054511827569,11,GHA-11,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Atwima,-,-,-,92,1,11,-,-,-,"[ 0.683950, 5.759650, 1.061030, 6.095440 ]"
0.783438735923578,6.2026729785841,12,GHA-12,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Atwima Mponua,-,-,-,92,1,12,-,-,-,"[ 0.657650, 5.967390, 0.957230, 6.440170 ]"
0.647088858664573,5.96428217350761,13,GHA-13,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Botsomtwe/Atwima/Kwanhuma,-,-,-,92,1,13,-,-,-,"[ 0.517310, 5.761410, 0.755630, 6.163230 ]"
0.39897509601719,6.14950399824908,14,GHA-14,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Ejisu-Juaben,-,-,-,92,1,14,-,-,-,"[ 0.102730, 5.937840, 0.704940, 6.337600 ]"
0.480412288573878,6.45929675721478,15,GHA-15,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Ejura/Sekyedumase,-,-,-,92,1,15,-,-,-,"[ 0.176330, 6.289440, 0.753830, 6.628290 ]"
0.505325053487545,6.71930018261817,16,GHA-16,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Kumasi Metropolitan,-,-,-,92,1,16,-,-,-,"[ 0.319450, 6.492440, 0.740150, 6.941470 ]"
0.437117240837314,6.96507073143895,17,GHA-17,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Kwabre,-,-,-,92,1,17,-,-,-,"[ 0.288630, 6.628290, 0.643320, 7.301840 ]"
0.217314298560766,6.59394163351292,18,GHA-18,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Obuasi Municipal,-,-,-,92,1,18,-,-,-,"[ 0.117290, 6.420030, 0.319450, 6.756710 ]"
0.255455717493093,6.92835477759893,19,GHA-19,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Offinso,-,-,-,92,1,19,-,-,-,"[ 0.106520, 6.752380, 0.376580, 7.104390 ]"
0.348430953249428,7.29514248392738,20,GHA-20,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Sekyere East,-,-,-,92,1,20,-,-,-,"[ 0.186440, 7.070130, 0.658360, 7.520310 ]"
-0.381767796872848,7.67718393766913,21,GHA-21,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Ashanti,Sekyere West,-,-,-,92,1,21,-,-,-,"[ -0.924610, 7.173200, 0.258820, 8.196050 ]"
0.269083326109533,7.77424810539577,22,GHA-22,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Asunafo North,-,-,-,92,2,1,-,-,-,"[ 0.031650, 7.393800, 0.482320, 8.154120 ]"
0.528346718281348,7.7355363790752,23,GHA-23,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Asunafo South,-,-,-,92,2,2,-,-,-,"[ 0.303380, 7.495050, 0.624330, 7.975380 ]"
-0.318530239650789,6.87826943139603,24,GHA-24,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Asutifi,-,-,-,92,2,3,-,-,-,"[ -0.749610, 6.540830, 0.247800, 7.212120 ]"
0.480991953220214,8.36041434884102,25,GHA-25,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Atebubu-Amantin,-,-,-,92,2,4,-,-,-,"[ 0.082620, 7.945740, 0.730370, 8.775340 ]"
0.333425929770818,9.13082518603267,26,GHA-26,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Berekum,-,-,-,92,2,5,-,-,-,"[ 0.166150, 8.765350, 0.563380, 9.496360 ]"
0.166127097383222,8.79028402643223,27,GHA-27,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Dormaa,-,-,-,92,2,6,-,-,-,"[ -0.086580, 8.523100, 0.396890, 9.063960 ]"
-0.269836587806595,9.41650995935023,28,GHA-28,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Brong Ahafo,Jaman North,-,-,-,92,2,7,-,-,-,"[ -0.660430, 9.063960, 0.259520, 9.796810 ]"
